"shapeid","x","y","OBJECTID","LSN","POI_NAME","POI_TYPE","POI_SOURCE","PHONE_NUM","GLOBALID","WEBSITE"
"40","-83.12554721961034","40.00076165786277","5700190","2351 WESTBELT DR","CSX Intermodal Terminals","Transportation - Rail","NULL","NULL","{EDBFADA9-5893-4563-AFC2-2760232F855E}","NULL"
"41","-82.98900483768303","39.99308465340907","5708212","1400 GROGAN AVE","Northway Transportation","Transportation - Other","NULL","NULL","{2250D3B9-C4A9-4A34-9B4A-DC7681E7D835}","NULL"
"42","-82.9922683730269","39.96017860952947","5708869","141 S 6TH ST","Blue Garage","Transportation - Parking Lot/Garage","NULL","NULL","{727EA2A5-2B3C-4746-B558-C1D64ECF64F9}","NULL"
"43","-82.84010943396953","39.97665091275944","5707816","6035 E BROAD ST","Mt Carmel Hospital Employee Parking","Transportation - Parking Lot/Garage","NULL","NULL","{89EC3CE7-FDEC-4494-AF58-71D62DFEEE6B}","NULL"
"44","-83.0683376556922","39.95461862399319","5708937","23 S RICHARDSON AVE","West Broad Medical Center Parking","Transportation - Parking Lot/Garage","NULL","NULL","{3BF122E6-E1BF-483C-B46F-60F579A71541}","NULL"
"45","-82.99106533767966","39.990608805562765","5708252","1330 FIELDS AVE","First Transit","Transportation - Bus","NULL","NULL","{6439FAF6-BE39-41B1-980E-FEC1F10B209C}","NULL"
"46","-82.9900325387708","39.98041142449817","5708267","805 CLEVELAND AVE","Hilltop Transportation","Transportation - Other","NULL","NULL","{186AF692-A04C-4315-99B8-4C7D9C96BDFB}","NULL"
"47","-83.14230494374951","39.9213654842076","5709144","1400 NORTON RD","Wind Speed Logistics","Transportation - Other","NULL","NULL","{09FD5C8F-270D-4BCE-8C72-B5B9C1B9F527}","NULL"
"48","-82.9953066012793","39.96588924303219","5708292","218 E LONG ST","218-256 E Long St Lot","Transportation - Parking Lot/Garage","NULL","NULL","{D474A8E7-251E-4EFA-AA4A-04BA71BEC895}","https://www.parkplaceparking.com/parking-lot-details/9"
"49","-82.93272283299024","39.89490121723948","5709016","2495 CREEKWAY DR","Coastal Transportation","Transportation - Other","NULL","NULL","{93C77B9B-7D6F-4DFE-BB3B-BDC65A66A315}","NULL"
"50","-82.99553464302171","39.957844868805125","5709205","145 E RICH ST","Hartman Lot","Transportation - Parking Lot/Garage","NULL","NULL","{1055C92A-26A5-486C-9B70-DC181AE0C1BE}","http://www.parkme.com/lot/29269/hartman-lot-columbus-oh"
"51","-83.00770710881103","39.968945435574106","5709215","355 JOHN H MCCONNELL BLVD","McConnell Garage","Transportation - Parking Lot/Garage","NULL","NULL","{0C145C0C-2E61-4ECE-8F46-7C08ECCC8080}","NULL"
"52","-83.01614020935966","40.002964459576006","5707893","271 IVES DR","Northwest Garage","Transportation - Parking Lot/Garage","NULL","NULL","{430B0E13-5999-4FAC-9956-E84475BBEA8E}","https://www.lazparking.com/local/columbus-oh/northwest-garage"
"53","-83.02052066898959","40.004344407901556","5708314","380 WOODY HAYES DR","South Field House Lot","Transportation - Parking Lot/Garage","NULL","NULL","{CD9422B2-54DC-4BF9-9AAB-BB990BAE1472}","https://www.lazparking.com/local/columbus-oh/south-field-house-lot"
"54","-82.99079355255145","39.9714534765792","5708328","412 MCCOY ST","CSCC 21-S Parking Lot","Transportation - Parking Lot/Garage","NULL","NULL","{B630A435-42A2-4B14-A046-AC4C1877FA80}","http://www.cscc.edu/about/columbus/pdf/map.pdf"
"55","-83.13106290292016","40.01011063312741","5709064","2800 INTERNATIONAL ST","Bowman Trailer Leasing","Transportation - Other","NULL","NULL","{3E4369EB-2E1D-47B2-BBF4-92B7CDF29B57}","NULL"
"56","-83.03722028504359","39.912900540529165","5709193","2180 HARDY PARKWAY ST","RCL Express","Transportation - Other","NULL","NULL","{AABABC45-4E96-4A34-AB3E-EFB9CE731795}","NULL"
"57","-82.99656627158961","39.96043746160599","5708379","131 E STATE ST","104 S Lazelle St Lot","Transportation - Parking Lot/Garage","NULL","NULL","{B49E6694-511B-41D0-A1AA-9BD82B31F040}","https://www.parkme.com/lot/28724/104-s-lazelle-st"
"58","-82.99374870275327","39.9648231812683","5709224","77 NORMANDY AVE","77 Normandy Ave Lot","Transportation - Parking Lot/Garage","NULL","NULL","{70C58B90-F60B-4D0D-B510-1CEED9AD9B4A}","http://www.parkme.com/lot/28728/77-normandy-ave"
"59","-82.99827988622998","39.957463444772294","5707980","55 E RICH ST","Columbus Commons Main Garage","Transportation - Parking Lot/Garage","CBLD1618323","NULL","{2B99546C-0376-4A0B-804B-25E83DE5DB53}","NULL"
